,sentence
35871,    Jiang Wei played so many deceitful tricks.
35872," He pretended to be going to take Yongzhou, and I thought that was very important, so I sent troops to rescue it."
35873, Then he meanly got away.
35874," I followed to the pass, but never thought he would come out and defeat my troops."
35875,"  Zhuge Xu pleaded thus, but he was sentenced to die."
35876,"  Now Wei Guan, Army Inspector, said,	Zhuge Xu is really a subordinate of Deng Ai and, admitting that he is in fault, his punishment should not have been pronounced by you, O Commander."
35877,"  But Zhong Hui swaggeringly replied,	I have a command from the Emperor and orders from the Prime Minister to attack Shu; if Deng Ai himself offended, I would behead him."
35878,"  However, other leaders interceded for Zhuge Xu, and Zhong Hui did not put him to death, but sent him a caged prisoner to the capital to be judged."
35879, The surviving soldiers were added to Zhong Hui's army.
35880," This insolent speech of Zhong Hui was duly repeated to Deng Ai, who was angry in his turn and said,	His rank and mine are the same."
35881, I have held a frontier post for years and sustained many fatigues in the country's service.
35882, Who is he that he gives himself such airs?
35883,  His son Deng Zhong endeavored to appease his wrath.
35884,"    Father, if you cannot suffer small things, you may upset the grand policy of the state."
35885," Unfriendliness with him may do great harm, so I hope you will bear with him."
35886,"  Deng Ai saw his son was right, and said no more; but he nourished anger in his heart."
35887, With a small escort he went to call upon his colleague.
35888,"  When his coming was announced, Zhong Hui asked his staff,	How many soldiers are following Deng Ai?"
35889," He has only some twenty horsemen,	they replied."
35890," Zhong Hui had a large body of guards drawn up about his tent, and then gave orders that his visitor should be led in."
35891," Deng Ai dismounted, and the two men saluted each other."
35892, But the visitor did not like the look on the faces of his host's guards.
35893, He decided to find out what Zhong Hui was thinking.
35894,"    The capture of Hanzhong is a piece of excellent fortune for the state,	said Deng Ai."
35895,	The capture of Saber Pass can now be accomplished easily.
35896,"  What is your own idea, General?"
35897,	asked Zhong Hui.
35898,"  Deng Ai tried to evade answering the question, but could not."
35899, Zhong Hui pressed him to reply.
35900,"  Finally he said,	In my simple opinion one might proceed by by−roads from the pass through the Yinping Mountains to Deyang in Hanzhong, and thence make a surprise march to Chengdu."
35901," Jiang Wei must go to its defense, and you, General, can take the Saber Pass."
35902,"    A very good plan,	said Zhong Hui."
35903,"	You may start forthwith, and I will wait here till I hear news of your success."
35904,"  They drank, and Deng Ai took his leave."
35905, Zhong Hui went back to his own tent filled with contempt for Deng Ai's plan.
35906, which he thought impracticable.
35907,"  They say Deng Ai is able; I think he is of most ordinary capacity,	said he to his officers."
35908, But why?
35909,	said they.
35910,"   Because the by−roads by Yinping Mountains are impassable, nothing but lofty cliffs and steep hills."
35911," A hundred defenders at a critical point could cut all communications, and Deng Ai's army would starve to death."
35912," I shall go by the direct road, and there is no fear about the result."
35913, I shall overcome Shu.
35914,  So he prepared scaling ladders and stone−throwing machines and set himself to besiege Saber Pass.
35915,  Deng Ai went out to the main gate of the court.
35916," While mounting, he said to his followers,	What did Zhong Hui think of me?"
35917,"    He looked as though he held a poor opinion of what you had said, General, and disagreed with you, although his words were fair enough."
35918,  He thinks I cannot take Chengdu; and so I will take it.
35919,"  He was received at his own camp by Shi Zuan and his son Deng Zhong, and a party of others of his generals, and they asked what the conversation had been about."
35920,"    I told Zhong Hui simple truth, but he thinks I am just a common person of no ability to speak of."
35921, He regards the capture of Hanzhong as an incomparable feat of arms.
35922, Where would he have been if I had not held up Jiang Wei?
35923, But I think the capture of Chengdu will beat that of Hanzhong.
35924,"  That night the camp was broken up, and they set out upon a long march along the mountainous paths."
35925, At a distance from Saber Pass they were to make a camp.
35926, Zhong Hui laughed at the attempt.
35927,  From his camp Deng Ai sent a letter to Sima Zhao.
35928," Then he called his officers to his tent and asked them, saying,	I am going to make a dash for Chengdu while it is still undefended, and success will mean unfading glory for us all."
35929, Will you follow me?
35930,"  We will follow you and obey your orders,	cried they all."
35931,  So the final dispositions were made.
35932, Deng Zhong and three thousand troops went first to improve the road.
35933," His troops wore no armor, but they had axes and boring tools."
35934, They were to level roads and build bridges.
35935,  Next went thirty thousand troops furnished with dry grain and ropes.
35936, At every one hundred miles they were to make a post of three thousand.
35937,"  In autumn of that year, they left Yinping, and in the tenth month they were in most precipitous country of the Yinping Mountains."
35938, They had taken twenty−seven days to travel two hundred and fifty miles.
35939, They were in an uninhabited country.
35940," After garrisoning the various posts on the way, they had only two thousand soldiers left."
35941," Before them stood a range named Heaven Cliffs, which no horse could ascend."
35942, Deng Ai climbed up on foot to see his son and the troops with him opening up a road.
35943, They were exhausted with fatigue and weeping.
35944,"  Deng Ai asked why they were so sad, and his son replied,	We have found an impassable precipice away to the northwest which we cannot get through."
35945, All our labor has been in vain.
35946,"  Deng Ai said, We have got over two hundred and fifty miles, and just beyond is Jiangyou."
35947, We cannot go back.
35948, How can one get tiger cubs except by going into tiger caves?
35949," Here we are, and it will be a very great feat to capture Chengdu."
35950,  They all said they would go on.
35951, So they came to the precipice.
35952," First they threw over their weapons; then the leader wrapped himself in blankets and rolled over the edge, next the generals followed him, also wrapped in blankets."
35953," Those who had not blankets were let down by cords round the waist, and others clinging to trees followed one after another till all had descended and the Heaven Cliffs was passed."
35954, Then they retook their armor and weapons and went on their way.
35955,  They came across a stone by the roadside.
35956," It bore a mysterious inscription, translated literally it read: This stone is a message of Zhuge Liang the Prime Minister:   Two fires were just founded; armies pass by here."
35957, Two soldiers compete; both soon die.
35958,"  (Two Lius were just founded, armies pass by here."
35959, Deng Ai and Zhong Hui compete; both soon die).
35960, Deng Ai was astonished.
35961, Presently he bowed before the stone and prayed to the spirit of Zhuge Liang.
35962,"   O Martial Lord, immortal."
35963, I grieve that I am not thy worthy disciple.
35964," The rugged lofty mountain peaks Of Yinping, pierce the sky,  The somber crane with wearied wing Can scarcely over them fly."
35965," Intrepid Deng Ai in blankets wrapped Rolled down the craggy steep,  His feat Zhuge Liang prophesied By insight wondrous deep."
35966," Having crossed this great range of mountains without discovery, Deng Ai marched forward."
35967," Presently he came to a roomy camp, empty and deserted."
35968," He was told that while Zhuge Liang lived, a thousand troops had been kept in garrison at this point of danger, but the Latter Ruler had withdrawn them."
